Dataset,Language,Multimodal,Repos,Amount,Environment,Link
Visual SWE-bench,Python,Yes,11,133,Yes,\ghlink{https://github.com/luolin101/CodeV} \hflink{https://huggingface.co/datasets/luolin101/Visual-SWE-bench}
SWE-EVO,Python,No,7,48,Yes,\ghlink{https://github.com/bdqnghi/SWE-EVO}
**Multi-PL Datasets**,,,,,,
SWE-Mirror,"Python, Rust, Go",No,40,60k,Yes,-
Multi-SWE-bench,"Java, JS, TS, Go, Rust, C, C++",No,76,"4,723",Yes,\ghlink{https://github.com/multi-swe-bench/multi-swe-bench} \hflink{https://huggingface.co/datasets/ByteDance-Seed/Multi-SWE-bench}
Swing-Bench,"Python, Go, C++, Rust",No,400,2300,Yes,-
SWE-PolyBench,"Python, Java, JS, TS",No,21,"2,110",Yes,\ghlink{https://github.com/amazon-science/SWE-PolyBench} \hflink{https://huggingface.co/datasets/AmazonScience/SWE-PolyBench} \hflink{https://huggingface.co/datasets/Sellopale/SWE-PolyBench_500}
SWE-Compass,"Python, JS, TS, Java, C, C++, Go, Rust, Kotlin, C#",No,-,"2,000",Yes,\ghlink{https://github.com/kwaipilot/SWE-Compass/} \hflink{https://huggingface.co/datasets/Kwaipilot/SWE-Compass}
SWE-Bench Pro,"Python, Go, TS",No,41,"1,865",Yes,\ghlink{https://github.com/scaleapi/SWE-bench_Pro-os} \hflink{https://huggingface.co/datasets/ScaleAI/SWE-bench_Pro}
SWE-bench++,"Python, Go, TS, JS, Ruby, PHP, Java, Rust, C++, C#, C",No,"3,971","1,782",Yes,\ghlink{https://github.com/TuringEnterprises/SWE-Bench-plus-plus} \hflink{https://huggingface.co/datasets/TuringEnterprises/SWE-Bench-plus-plus}
SWE-Bench Mobile,"Swift, Objective-C",Yes,-,-,Yes,-
SWE-Lancer,"JS, TS",No,-,"1,488",Yes,\ghlink{https://github.com/openai/frontier-evals}
OmniGIRL,"Python, TS, Java, JS",Yes,15,959,Yes,\ghlink{https://github.com/deepsoftwareanalytics/omnigirl} \hflink{https://huggingface.co/datasets/Deep-Software-Analytics/OmniGIRL}
MobileDev-Bench,"Java, Kotlin, TS, Dart",Yes,18,384,Yes,-
SWE-bench Multimodal,"JS, TS, HTML, CSS",Yes,17,619,Yes,\ghlink{https://github.com/SWE-bench/SWE-bench} \hflink{https://huggingface.co/datasets/SWE-bench/SWE-bench_Multimodal}
SWE-fficiency,"Python, Cython",No,9,498,Yes,\ghlink{https://github.com/swefficiency/swefficiency-site}
SWE-Factory,"Python, Java, JS, TS",No,12,430,Yes,\ghlink{https://github.com/DeepSoftwareAnalytics/swe-factory} \hflink{https://huggingface.co/SWE-Factory}
SWE-bench-Live-MultiLang \& Windows,"Python, JS, TS, C, C++, C#, Java, Go, Rust",No,238,418,Yes,\ghlink{https://github.com/microsoft/SWE-bench-Live} \hflink{https://huggingface.co/datasets/SWE-bench-Live/MultiLang} \hflink{https://huggingface.co/datasets/SWE-bench-Live/Windows}
SWE-bench Multilingual,"C, C++, Go, Java, JS, TS, Rust, Python, Ruby, PHP",No,42,300,Yes,\ghlink{https://github.com/SWE-bench/SWE-bench} \hflink{https://huggingface.co/datasets/SWE-bench/SWE-bench_Multilingual}
SWE-InfraBench,"Python, TS",No,-,100,Yes,-
